metric,test_type,model1,model2,model1_n,model1_value,model1_successes,model2_n,model2_value,model2_successes,test_statistic,p_value,p_value_corrected,significant,significant_corrected,effect_size,effect_size_interpretation
VR,z-test,A,B,150,0.666667,100,150,0.953333,143,-6.328321,0.000000,0.000000,true,true,-0.795477,medium
VR,z-test,A,C,150,0.666667,100,150,0.700000,105,-0.620572,0.460871,1.000000,false,false,-0.071680,negligible
VR,z-test,A,D,150,0.666667,100,150,0.933333,140,-5.773503,0.000000,0.000000,true,true,-0.708645,medium
VR,z-test,A,E,150,0.666667,100,148,0.709459,105,-0.797144,0.356691,1.000000,false,false,-0.092417,negligible
VR,z-test,B,C,150,0.953333,143,150,0.700000,105,5.795844,0.000000,0.000000,true,true,0.723797,medium
VR,z-test,B,D,150,0.953333,143,150,0.933333,140,0.749142,0.383141,1.000000,false,false,0.086832,negligible
VR,z-test,B,E,150,0.953333,143,148,0.709459,105,5.632991,0.000000,0.000000,true,true,0.703060,medium
VR,z-test,C,D,150,0.700000,105,150,0.933333,140,-5.222330,0.000000,0.000001,true,true,-0.636965,medium
VR,z-test,C,E,150,0.700000,105,148,0.709459,105,-0.178978,0.813100,1.000000,false,false,-0.020738,negligible
VR,z-test,D,E,150,0.933333,140,148,0.709459,105,5.053207,0.000000,0.000003,true,true,0.616227,medium
TCR,z-test,A,B,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,A,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,A,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,A,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,B,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,B,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,B,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,C,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,C,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
TCR,z-test,D,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,A,B,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,A,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,A,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,A,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,B,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,B,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,B,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,C,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,C,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RRR,z-test,D,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
CDR,z-test,A,B,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
CDR,z-test,A,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
CDR,z-test,A,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
CDR,z-test,A,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
CDR,z-test,B,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
CDR,z-test,B,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
CDR,z-test,B,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
CDR,z-test,C,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
CDR,z-test,C,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
CDR,z-test,D,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RGR,z-test,A,B,150,1.000000,150,150,0.880000,132,4.375950,0.000009,0.000088,true,true,0.707483,medium
RGR,z-test,A,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RGR,z-test,A,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RGR,z-test,A,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RGR,z-test,B,C,150,0.880000,132,150,1.000000,150,-4.375950,0.000009,0.000088,true,true,-0.707483,medium
RGR,z-test,B,D,150,0.880000,132,150,1.000000,150,-4.375950,0.000009,0.000088,true,true,-0.707483,medium
RGR,z-test,B,E,150,0.880000,132,148,1.000000,148,-4.347610,0.000010,0.000100,true,true,-0.707483,medium
RGR,z-test,C,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RGR,z-test,C,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RGR,z-test,D,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,A,B,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,A,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,A,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,A,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,B,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,B,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,B,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,C,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,C,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,D,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RC_SR,z-test,A,B,150,0.666667,100,150,0.953333,143,-6.328321,0.000000,0.000000,true,true,-0.795477,medium
RC_SR,z-test,A,C,150,0.666667,100,150,0.700000,105,-0.620572,0.460871,1.000000,false,false,-0.071680,negligible
RC_SR,z-test,A,D,150,0.666667,100,150,0.933333,140,-5.773503,0.000000,0.000000,true,true,-0.708645,medium
RC_SR,z-test,A,E,150,0.666667,100,148,0.716216,106,-0.925757,0.292352,1.000000,false,false,-0.107352,negligible
RC_SR,z-test,B,C,150,0.953333,143,150,0.700000,105,5.795844,0.000000,0.000000,true,true,0.723797,medium
RC_SR,z-test,B,D,150,0.953333,143,150,0.933333,140,0.749142,0.383141,1.000000,false,false,0.086832,negligible
RC_SR,z-test,B,E,150,0.953333,143,148,0.716216,106,5.521408,0.000000,0.000000,true,true,0.688125,medium
RC_SR,z-test,C,D,150,0.700000,105,150,0.933333,140,-5.222330,0.000000,0.000001,true,true,-0.636965,medium
RC_SR,z-test,C,E,150,0.700000,105,148,0.716216,106,-0.307846,0.695488,1.000000,false,false,-0.035672,negligible
RC_SR,z-test,D,E,150,0.933333,140,148,0.716216,106,4.937527,0.000001,0.000006,true,true,0.601293,medium
JA_SR,z-test,A,B,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,A,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,A,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,A,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,B,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,B,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,B,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,C,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,C,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,D,E,150,1.000000,150,148,1.000000,148,0.000000,1.000000,1.000000,false,false,0.000000,negligible
LAT,mann-whitney-u,A,B,150,12602.500000,,150,41366.000000,,400.000000,0.000000,0.000000,true,true,0.964444,large
LAT,mann-whitney-u,A,C,150,12602.500000,,150,7638.000000,,5402.000000,0.000000,0.000000,true,true,0.519822,large
LAT,mann-whitney-u,A,D,150,12602.500000,,150,24764.000000,,3680.000000,0.000000,0.000000,true,true,0.672889,large
LAT,mann-whitney-u,A,E,150,12602.500000,,148,18768.500000,,6082.500000,0.000000,0.000000,true,true,0.452027,medium
LAT,mann-whitney-u,B,C,150,41366.000000,,150,7638.000000,,135.000000,0.000000,0.000000,true,true,0.988000,large
LAT,mann-whitney-u,B,D,150,41366.000000,,150,24764.000000,,5500.000000,0.000000,0.000000,true,true,0.511111,large
LAT,mann-whitney-u,B,E,150,41366.000000,,148,18768.500000,,3934.000000,0.000000,0.000000,true,true,0.645586,large
LAT,mann-whitney-u,C,D,150,7638.000000,,150,24764.000000,,1239.500000,0.000000,0.000000,true,true,0.889822,large
LAT,mann-whitney-u,C,E,150,7638.000000,,148,18768.500000,,2922.000000,0.000000,0.000000,true,true,0.736757,large
LAT,mann-whitney-u,D,E,150,24764.000000,,148,18768.500000,,8654.500000,0.000740,0.007397,true,true,0.220315,small
COST,mann-whitney-u,A,B,150,2.604822,,150,4.223212,,1562.000000,0.000000,0.000000,true,true,0.861156,large
COST,mann-whitney-u,A,C,150,2.604822,,150,2.554383,,10902.500000,0.570933,1.000000,false,false,0.030889,negligible
COST,mann-whitney-u,A,D,150,2.604822,,150,2.779403,,6009.500000,0.000000,0.000000,true,true,0.465822,medium
COST,mann-whitney-u,A,E,150,2.604822,,148,2.742394,,9666.500000,0.041104,0.411044,true,false,0.129144,small
COST,mann-whitney-u,B,C,150,4.223212,,150,2.554383,,1468.500000,0.000000,0.000000,true,true,0.869467,large
COST,mann-whitney-u,B,D,150,4.223212,,150,2.779403,,4822.500000,0.000000,0.000000,true,true,0.571333,large
COST,mann-whitney-u,B,E,150,4.223212,,148,2.742394,,5215.000000,0.000000,0.000000,true,true,0.530180,large
COST,mann-whitney-u,C,D,150,2.554383,,150,2.779403,,5739.000000,0.000000,0.000000,true,true,0.489867,medium
COST,mann-whitney-u,C,E,150,2.554383,,148,2.742394,,9511.000000,0.024652,0.246520,true,false,0.143153,small
COST,mann-whitney-u,D,E,150,2.779403,,148,2.742394,,9606.000000,0.033839,0.338390,true,false,0.134595,small